Befragten_ID;Reputation AG;Image Ges;Lernplätze-Gruppenräume;Mensa_Cafeteria;Modernen_Gebäude;Technische_Austatt;Begegnungsräume;Modul_Wahlmöglichkeiten ;Spezialisierungsmöglichkeiten ;Hochschul_Lern_Lehrklima?;Interaktion_Dozierenden;inter_didaktisch_Unterricht;Lernerfolg;Wissen_anwenden;Unterrichtsmodule_Englisch ;Austauschsemester;Double_Degree;Incoming_Students_Kontakt;Internat_Exkursionen;Standort_Allg;Nähe_Wohnort;Social Media;Werbung ;Anwesenheit_Freunde;Empfehlung_Freunde_Family;Empfehlung_Beruf;Empfehlung_Studierenden_Absolventen
180;5;5;5;3;5;5;3;5;5;4;5;5;5;5;5;5;5;4;5;4;5;4;4;4;4;4;4
181;5;4;6;3;6;6;6;7;7;7;6;7;7;7;3;3;3;5;5;5;5;2;5;5;6;6;6
182;3;1;1;1;5;5;1;6;7;4;4;5;5;6;6;7;3;4;4;7;7;5;5;4;5;5;4
183;7;6;5;6;4;6;5;6;6;4;3;5;5;5;6;6;4;4;6;6;6;3;3;3;6;6;6
184;5;5;3;2;3;3;3;6;7;2;2;5;5;7;2;2;2;2;7;7;7;2;3;5;6;3;3
185;6;6;3;2;5;2;4;7;7;4;3;7;7;7;7;7;1;6;7;7;5;2;4;1;7;7;7
186;4;4;4;4;4;2;2;6;7;7;6;6;6;5;4;6;5;4;5;3;4;2;2;7;7;7;7
187;6;6;5;7;7;5;6;4;5;6;5;6;5;4;6;6;6;5;4;7;7;4;5;7;4;5;5
188;7;7;7;7;7;7;7;7;6;6;5;6;7;7;6;4;4;4;4;5;5;4;4;6;6;6;6
189;6;5;6;7;5;6;7;6;6;6;5;5;6;6;5;4;4;4;3;6;6;5;3;5;5;5;5
190;7;7;7;7;7;7;7;7;7;7;7;7;5;6;5;2;4;4;2;7;7;4;4;4;4;4;4
191;6;6;7;7;7;7;7;6;7;6;6;7;6;7;6;7;5;4;4;7;5;6;4;6;6;6;6
192;5;5;6;5;7;7;7;5;5;6;6;7;6;6;4;6;4;4;4;5;3;3;3;2;2;3;3
193;4;4;2;2;5;5;3;6;4;4;4;6;6;7;1;2;2;1;3;5;6;1;1;7;6;6;6
194;5;5;4;4;4;4;4;5;6;5;4;5;5;6;4;2;4;4;4;5;7;5;4;6;5;5;5
195;5;6;3;1;5;6;4;6;7;6;6;6;6;4;7;2;4;4;5;7;7;2;2;1;6;6;7
196;5;3;2;6;6;7;6;4;2;3;2;4;4;5;6;7;1;3;5;6;5;4;2;6;5;4;6
197;7;7;6;6;7;7;7;5;7;4;4;2;6;7;1;5;1;1;5;7;7;6;1;5;7;4;6
198;5;5;6;6;4;7;5;6;6;6;6;6;5;5;6;6;4;4;5;6;6;3;4;3;4;4;4
199;7;4;7;6;6;7;5;6;7;5;4;6;6;7;7;7;4;4;6;4;4;4;7;4;5;6;3
200;4;5;5;5;7;7;6;6;5;5;6;6;7;6;4;5;1;5;6;7;5;1;2;2;3;3;5
201;2;2;2;2;5;5;2;6;6;4;7;7;5;7;7;4;4;2;4;6;6;2;2;3;2;2;2
202;5;5;6;6;6;5;6;3;5;2;3;3;5;4;5;5;5;5;5;5;5;3;3;4;4;4;4
203;5;5;4;4;4;4;4;6;6;4;4;6;6;6;4;5;2;4;5;7;6;4;4;4;5;5;5
204;5;4;1;1;1;1;1;5;6;4;5;5;6;7;5;1;1;1;1;7;7;1;1;1;1;1;1
205;5;4;3;2;4;5;3;6;4;5;3;5;4;5;4;2;2;1;1;7;7;3;4;7;7;5;7
206;4;6;6;7;6;6;6;7;7;7;7;7;7;7;5;5;5;5;5;7;6;5;5;7;7;7;7
